iteration_number,pod_name,response_time
1,lookup-standard-687f7b97bb-64fdb,0.002180
2,lookup-standard-687f7b97bb-lr642,0.002250
3,lookup-standard-687f7b97bb-lw9p8,0.002327
4,lookup-standard-687f7b97bb-d8f7s,0.002010
5,lookup-standard-687f7b97bb-9xbnc,0.002175
6,lookup-standard-687f7b97bb-6hs5v,0.002191
7,lookup-standard-687f7b97bb-xthjt,0.002292
8,lookup-standard-687f7b97bb-nqn9c,0.002582
9,lookup-standard-687f7b97bb-gk999,0.001770
10,lookup-standard-687f7b97bb-c7rzg,0.002257
11,lookup-standard-687f7b97bb-jsgpp,0.002512
12,lookup-standard-687f7b97bb-wnjqf,0.002910
13,lookup-standard-687f7b97bb-jb24n,0.004432
14,lookup-standard-687f7b97bb-rld8f,0.002248
15,lookup-standard-687f7b97bb-ftrr7,0.002436
16,lookup-standard-687f7b97bb-5fjh5,0.002235
17,lookup-standard-687f7b97bb-r28cl,0.002213
18,lookup-standard-687f7b97bb-cpkjm,0.002374
19,lookup-standard-687f7b97bb-xf2d9,0.003383
20,lookup-standard-687f7b97bb-p8c2r,0.002272
21,lookup-standard-687f7b97bb-hcl7x,0.002204
22,lookup-standard-687f7b97bb-5gnjg,0.002046
23,lookup-standard-687f7b97bb-vbcr2,0.002042
24,lookup-standard-687f7b97bb-5x4ht,0.002247
25,lookup-standard-687f7b97bb-7fmm4,0.002073
26,lookup-standard-687f7b97bb-b2jb8,0.002048
27,lookup-standard-687f7b97bb-k7nlt,0.002172
28,lookup-standard-687f7b97bb-n4pqg,0.002256
29,lookup-standard-687f7b97bb-m75gb,0.003730
30,lookup-standard-687f7b97bb-cc6p8,0.002912
31,lookup-standard-687f7b97bb-bd6r4,0.002504
32,lookup-standard-687f7b97bb-fcvxm,0.002275
33,lookup-standard-687f7b97bb-fmrxv,0.002608
34,lookup-standard-687f7b97bb-mw5w6,0.002274
35,lookup-standard-687f7b97bb-pf2fd,0.002294
36,lookup-standard-687f7b97bb-kdql8,0.002935
37,lookup-standard-687f7b97bb-vndjv,0.002147
38,lookup-standard-687f7b97bb-fzgnn,0.002149
39,lookup-standard-687f7b97bb-mlgmv,0.002248
40,lookup-standard-687f7b97bb-wfw8t,0.002918
41,lookup-standard-687f7b97bb-d6vf8,0.003443
42,lookup-standard-687f7b97bb-2dnhf,0.002033
43,lookup-standard-687f7b97bb-49ps6,0.002005
44,lookup-standard-687f7b97bb-6ck9g,0.001957
45,lookup-standard-687f7b97bb-vghb4,0.002167
46,lookup-standard-687f7b97bb-4gzpf,0.002828
47,lookup-standard-687f7b97bb-fs8tr,0.002180
48,lookup-standard-687f7b97bb-p6ztg,0.001872
49,lookup-standard-687f7b97bb-b4nbb,0.002544
50,lookup-standard-687f7b97bb-hk4fk,0.001944
51,lookup-standard-687f7b97bb-d2p45,0.002075
52,lookup-standard-687f7b97bb-r7mzk,0.002722
53,lookup-standard-687f7b97bb-q7fr6,0.002065
54,lookup-standard-687f7b97bb-fbv47,0.002753
55,lookup-standard-687f7b97bb-wjp5s,0.002012
56,lookup-standard-687f7b97bb-xtkdz,0.002278
57,lookup-standard-687f7b97bb-6vnzg,0.002269
58,lookup-standard-687f7b97bb-45b5c,0.002476
59,lookup-standard-687f7b97bb-cw9d7,0.002342
60,lookup-standard-687f7b97bb-rgknf,0.002329
61,lookup-standard-687f7b97bb-ppb2b,0.002144
62,lookup-standard-687f7b97bb-lstr6,0.002425
63,lookup-standard-687f7b97bb-9qpkx,0.002417
64,lookup-standard-687f7b97bb-n9s4w,0.002537
65,lookup-standard-687f7b97bb-5zfnm,0.003009
66,lookup-standard-687f7b97bb-94vfv,0.002268
67,lookup-standard-687f7b97bb-gq7lb,0.002438
68,lookup-standard-687f7b97bb-xwdkz,0.002237
69,lookup-standard-687f7b97bb-zr6ft,0.002647
70,lookup-standard-687f7b97bb-hfssb,0.002139
71,lookup-standard-687f7b97bb-8snv7,0.002150
72,lookup-standard-687f7b97bb-tgzlv,0.003352
73,lookup-standard-687f7b97bb-f9zln,0.002142
74,lookup-standard-687f7b97bb-99b8l,0.002051
75,lookup-standard-687f7b97bb-jtbkf,0.000110
76,lookup-standard-687f7b97bb-dsnjc,0.003216
77,lookup-standard-687f7b97bb-rclnb,0.002527
78,lookup-standard-687f7b97bb-tt8tt,0.002389
79,lookup-standard-687f7b97bb-h8jbp,0.002769
80,lookup-standard-687f7b97bb-2sfhb,0.001989
81,lookup-standard-687f7b97bb-ss4j5,0.002334
82,lookup-standard-687f7b97bb-jqfz2,0.003437
83,lookup-standard-687f7b97bb-jg8kg,0.003782
84,lookup-standard-687f7b97bb-p2hf4,0.002155
85,lookup-standard-687f7b97bb-w2fmv,0.002396
86,lookup-standard-687f7b97bb-gp6sb,0.002179
87,lookup-standard-687f7b97bb-xxrkg,0.001999
88,lookup-standard-687f7b97bb-27b66,0.002137
89,lookup-standard-687f7b97bb-6rhpq,0.002125
90,lookup-standard-687f7b97bb-6ss25,0.002005
91,lookup-standard-687f7b97bb-8jv5n,0.002571
92,lookup-standard-687f7b97bb-h2s6q,0.002221
93,lookup-standard-687f7b97bb-6bhgh,0.002463
94,lookup-standard-687f7b97bb-zf4c6,0.002500
95,lookup-standard-687f7b97bb-jfsqc,0.002669
96,lookup-standard-687f7b97bb-42qgg,0.002103
97,lookup-standard-687f7b97bb-lqkd9,0.002088
98,lookup-standard-687f7b97bb-xk84t,0.002198
99,lookup-standard-687f7b97bb-jhpwx,0.002324
100,lookup-standard-687f7b97bb-fsrzp,0.002177
101,lookup-standard-687f7b97bb-tnzdk,0.002507
102,lookup-standard-687f7b97bb-n9vrg,0.002108
103,lookup-standard-687f7b97bb-xrz4m,0.002395
104,lookup-standard-687f7b97bb-qwv5w,0.002966
105,lookup-standard-687f7b97bb-f8vb2,0.002294
106,lookup-standard-687f7b97bb-4ltcp,0.002128
107,lookup-standard-687f7b97bb-p6qzb,0.002324
108,lookup-standard-687f7b97bb-rvn62,0.002447
109,lookup-standard-687f7b97bb-fxrbp,0.002170
110,lookup-standard-687f7b97bb-5k5qp,0.002169
111,lookup-standard-687f7b97bb-ppgzz,0.002161
112,lookup-standard-687f7b97bb-l5mt5,0.002150
113,lookup-standard-687f7b97bb-8tfwv,0.002477
114,lookup-standard-687f7b97bb-4l8th,0.003592
115,lookup-standard-687f7b97bb-ptxcm,0.002138
116,lookup-standard-687f7b97bb-wg55p,0.002177
117,lookup-standard-687f7b97bb-v6zcf,0.002112
118,lookup-standard-687f7b97bb-qdxzg,0.002393
119,lookup-standard-687f7b97bb-l99pp,0.002399
120,lookup-standard-687f7b97bb-hbwck,0.002171
121,lookup-standard-687f7b97bb-7l88x,0.002404
122,lookup-standard-687f7b97bb-xm64z,0.002198
123,lookup-standard-687f7b97bb-dgj89,0.002396
124,lookup-standard-687f7b97bb-2nr7j,0.003210
125,lookup-standard-687f7b97bb-ktwjb,0.002273
126,lookup-standard-687f7b97bb-85zgp,0.002493
127,lookup-standard-687f7b97bb-vjnm8,0.002488
128,lookup-standard-687f7b97bb-dwh6q,0.002578
129,lookup-standard-687f7b97bb-f5jpv,0.002328
130,lookup-standard-687f7b97bb-vlnmv,0.002448
131,lookup-standard-687f7b97bb-dmtkx,0.002151
132,lookup-standard-687f7b97bb-szt5x,0.002786
133,lookup-standard-687f7b97bb-6s44t,0.002359
134,lookup-standard-687f7b97bb-5px2v,0.002104
135,lookup-standard-687f7b97bb-p5qg9,0.002290
136,lookup-standard-687f7b97bb-b62qt,0.002177
137,lookup-standard-687f7b97bb-kcmck,0.002121
138,lookup-standard-687f7b97bb-t7dgz,0.002172
139,lookup-standard-687f7b97bb-cht94,0.002330
140,lookup-standard-687f7b97bb-pg5fk,0.002410
141,lookup-standard-687f7b97bb-vjd2f,0.002451
142,lookup-standard-687f7b97bb-hf6cn,0.002303
143,lookup-standard-687f7b97bb-fqvpv,0.002762
144,lookup-standard-687f7b97bb-z6nk8,0.002024
145,lookup-standard-687f7b97bb-4wfbr,0.002856
146,lookup-standard-687f7b97bb-qh6rc,0.002419
147,lookup-standard-687f7b97bb-gh94r,0.002596
148,lookup-standard-687f7b97bb-98hxj,0.002198
149,lookup-standard-687f7b97bb-gf8kp,0.002634
150,lookup-standard-687f7b97bb-tbk9v,0.002294
151,lookup-standard-687f7b97bb-njb76,0.002036
152,lookup-standard-687f7b97bb-2tsf7,0.003571
153,lookup-standard-687f7b97bb-q5527,0.002036
154,lookup-standard-687f7b97bb-hr6vb,0.002828
155,lookup-standard-687f7b97bb-sk94p,0.002151
156,lookup-standard-687f7b97bb-6d7wn,0.002321
157,lookup-standard-687f7b97bb-xrrh4,0.002106
158,lookup-standard-687f7b97bb-g5lzq,0.002573
159,lookup-standard-687f7b97bb-hqt5r,0.002162
160,lookup-standard-687f7b97bb-48k5g,0.002333
161,lookup-standard-687f7b97bb-c8wtz,0.002163
162,lookup-standard-687f7b97bb-2vsqw,0.003428
