iteration_number,pod_name,response_time
1,default/lookup-standard-00001-deployment-5659f5f45b-rfgnw,1.732791
2,default/lookup-standard-00001-deployment-5697cb44d-8s6bz,1.842970
3,default/lookup-standard-00001-deployment-564bd9b5cf-l8tdb,1.843531
4,default/lookup-standard-00001-deployment-7cc6d5f699-vgm6j,1.834595
5,default/lookup-standard-00001-deployment-586848f47c-mhcc5,1.836272
6,default/lookup-standard-00001-deployment-8666df7756-nn5ql,1.828685
7,default/lookup-standard-00001-deployment-6f884f678c-wspz8,1.814261
8,default/lookup-standard-00001-deployment-6dc9cffc97-b2wd8,1.828439
9,default/lookup-standard-00001-deployment-cdc955f48-zzddb,1.825468
10,default/lookup-standard-00001-deployment-6dd888dbd-k6wm6,1.819411
11,default/lookup-standard-00001-deployment-8466f5c494-xcwlx,1.834676
12,default/lookup-standard-00001-deployment-84c8cb84cb-5wk27,1.823842
13,default/lookup-standard-00001-deployment-6bc78f9f59-8zxn9,1.824799
14,default/lookup-standard-00001-deployment-6dd65456fb-m4gkv,1.822479
15,default/lookup-standard-00001-deployment-65ff7c7748-5xh8s,1.824499
16,default/lookup-standard-00001-deployment-86df86c9d8-gtj6q,1.829424
17,default/lookup-standard-00001-deployment-669d448f4b-sbjw4,1.826032
18,default/lookup-standard-00001-deployment-869fd7dbd9-jw9ss,1.660416
19,default/lookup-standard-00001-deployment-9fd87cc98-nwz2k,1.832073
20,default/lookup-standard-00001-deployment-66d5465845-6hwpn,1.820430
21,default/lookup-standard-00001-deployment-6656455fcf-7zs9l,1.822572
22,default/lookup-standard-00001-deployment-cb64c8984-zqpss,1.827171
23,default/lookup-standard-00001-deployment-bdcb5564b-n578q,1.821030
24,default/lookup-standard-00001-deployment-b4b879f8f-88csw,1.817550
25,default/lookup-standard-00001-deployment-6b4fb87c59-6xl9m,1.824663
26,default/lookup-standard-00001-deployment-7c876d96b7-rnrzl,1.828251
27,default/lookup-standard-00001-deployment-5486df6846-hbmn2,1.830371
28,default/lookup-standard-00001-deployment-5cfbc6d559-fmp66,1.825293
29,default/lookup-standard-00001-deployment-59cc49cfbd-nsmsg,1.829280
30,default/lookup-standard-00001-deployment-684679cb66-crqqn,1.822402
31,default/lookup-standard-00001-deployment-689d8886b7-hj4dv,2.826453
32,default/lookup-standard-00001-deployment-7d87986f6b-t7z5z,1.820856
33,default/lookup-standard-00001-deployment-87f6b496f-wzqf2,1.821456
34,default/lookup-standard-00001-deployment-56cd59f7d8-8x98r,1.818284
35,default/lookup-standard-00001-deployment-77bf897865-r7m4s,1.828484
36,default/lookup-standard-00001-deployment-7f98d876c-sbscf,1.822022
37,default/lookup-standard-00001-deployment-595766dd9-ktpq8,1.820213
38,default/lookup-standard-00001-deployment-58c98bf848-rmpbj,1.823991
39,default/lookup-standard-00001-deployment-5bc7d8f94b-dlhn8,1.827210
40,default/lookup-standard-00001-deployment-c6589cbf6-fq7wp,1.825694
41,default/lookup-standard-00001-deployment-76956b974f-tqpv2,1.824328
42,default/lookup-standard-00001-deployment-6fbf98bdc6-c5d2x,1.824952
43,default/lookup-standard-00001-deployment-7574dc7c99-cz75k,1.815831
44,default/lookup-standard-00001-deployment-5c4769cb57-sl8fh,1.817393
45,default/lookup-standard-00001-deployment-d6bb88bb9-8mpnz,1.820216
46,default/lookup-standard-00001-deployment-6745b84d55-wqxrx,1.823229
47,default/lookup-standard-00001-deployment-7f9ff9b5b4-22jtg,1.819368
48,default/lookup-standard-00001-deployment-7f978b9cb6-2f7zb,1.817941
49,default/lookup-standard-00001-deployment-6c976f88f5-ffxsl,1.822424
50,default/lookup-standard-00001-deployment-6d4958f469-h5mf6,1.818316
51,default/lookup-standard-00001-deployment-69ccd8df58-bvwng,1.821309
52,default/lookup-standard-00001-deployment-dff6446d7-4q89l,1.821823
53,default/lookup-standard-00001-deployment-7467cd5458-jzzzv,1.819674
54,default/lookup-standard-00001-deployment-ddb645687-f258z,1.819979
55,default/lookup-standard-00001-deployment-5798cc45b6-4ff9r,1.820296
56,default/lookup-standard-00001-deployment-75589f6cc6-hmx9z,1.822281
57,default/lookup-standard-00001-deployment-5cf4c5c776-4thsx,1.820485
58,default/lookup-standard-00001-deployment-5c8bdb4668-98zln,1.820198
59,default/lookup-standard-00001-deployment-84444768b-gwcn2,1.826053
60,default/lookup-standard-00001-deployment-85877d4b8b-s8vpk,1.818432
61,default/lookup-standard-00001-deployment-74dfb4ddbc-bbfw7,1.816372
62,default/lookup-standard-00001-deployment-bfdff8478-fbhvb,1.819764
63,default/lookup-standard-00001-deployment-9d45cb7bc-ds6tb,1.820837
64,default/lookup-standard-00001-deployment-6b7589b6d8-bhx98,1.819535
65,default/lookup-standard-00001-deployment-78c68d6859-4vkjb,1.820805
66,default/lookup-standard-00001-deployment-6588bb8854-ddrtt,1.816520
67,default/lookup-standard-00001-deployment-666999b44b-rrkpj,1.815027
68,default/lookup-standard-00001-deployment-59cd9bdcf5-pd2fp,1.814883
69,default/lookup-standard-00001-deployment-5fc866f7b9-r8qcv,1.816150
70,default/lookup-standard-00001-deployment-66d6f796f8-t6nlh,1.813003
71,default/lookup-standard-00001-deployment-7c7c59cfc4-rwbnq,1.813417
72,default/lookup-standard-00001-deployment-6cfccccfc4-hr98q,1.813093
73,default/lookup-standard-00001-deployment-786b977d49-gqjcp,1.814893
74,default/lookup-standard-00001-deployment-6667d55575-fz7lt,1.815974
75,default/lookup-standard-00001-deployment-6d4d65d4f4-h7dg5,1.822786
76,default/lookup-standard-00001-deployment-649c68df44-fnbdx,1.814179
77,default/lookup-standard-00001-deployment-65fddd9d77-kzkzv,1.819070
78,default/lookup-standard-00001-deployment-5c474fc57f-x8s7d,1.818984
79,default/lookup-standard-00001-deployment-7b49d4f788-5q8d6,1.816089
80,default/lookup-standard-00001-deployment-746f796bd-fbjhr,1.818323
81,default/lookup-standard-00001-deployment-566558788-zx489,1.820337
82,default/lookup-standard-00001-deployment-685898bcbf-2scxf,1.816178
83,default/lookup-standard-00001-deployment-7dd9dfb8c5-fvxtk,1.811419
84,default/lookup-standard-00001-deployment-74b54d896d-kmz9h,1.810227
85,default/lookup-standard-00001-deployment-6b5b9b5866-4vgkh,1.812693
86,default/lookup-standard-00001-deployment-6d8b4f899-xp9ml,1.810481
87,default/lookup-standard-00001-deployment-68cd7647b-hsbf4,1.808466
88,default/lookup-standard-00001-deployment-866799dcc6-jqpjs,1.823513
89,default/lookup-standard-00001-deployment-7f844bf9cc-5kc78,1.831562
90,default/lookup-standard-00001-deployment-5b5cb885fb-rm4hw,1.807558
91,default/lookup-standard-00001-deployment-65646db545-ttfmm,1.813219
92,default/lookup-standard-00001-deployment-85849bb9f7-kfbvn,1.813240
93,default/lookup-standard-00001-deployment-664d5df7bd-p98bb,1.815768
94,default/lookup-standard-00001-deployment-7fd6586d7-s8dqk,1.809174
95,default/lookup-standard-00001-deployment-58985b49c5-6467g,1.813940
96,default/lookup-standard-00001-deployment-558db78dcf-k9p25,1.821900
97,default/lookup-standard-00001-deployment-5597d46b7d-lj758,1.802978
98,default/lookup-standard-00001-deployment-7d47b9b545-h9wm2,1.815457
99,default/lookup-standard-00001-deployment-84d887f5b7-vh9d9,1.813351
