iteration_number,pod_name,response_time
1,default/lookup-wasm-00001-deployment-75d6f8bbd5-6ss6l,3.804360
2,default/lookup-wasm-00001-deployment-b77854d5-cfbjr,1.803498
3,default/lookup-wasm-00001-deployment-f795d5667-qgzc8,1.793183
4,default/lookup-wasm-00001-deployment-f7c9bf5dc-mtzpr,1.792801
5,default/lookup-wasm-00001-deployment-56468b7bc5-qrff6,1.805571
6,default/lookup-wasm-00001-deployment-7b6c696b48-4g8sf,1.794601
7,default/lookup-wasm-00001-deployment-85dffbd6cc-d2dhz,1.800035
8,default/lookup-wasm-00001-deployment-58fd9ff9c9-c6vdt,1.796806
9,default/lookup-wasm-00001-deployment-c8fb45d67-52lfs,1.786615
10,default/lookup-wasm-00001-deployment-d77ccfb64-vxsgq,1.798805
11,default/lookup-wasm-00001-deployment-cdc84b6dc-9rq8z,1.795189
12,default/lookup-wasm-00001-deployment-759f66ff6c-5fqfk,1.800296
13,default/lookup-wasm-00001-deployment-686d57b57d-tlfcp,1.790750
14,default/lookup-wasm-00001-deployment-9d9f7f88d-s5dnw,1.794629
15,default/lookup-wasm-00001-deployment-86c744d48-8498c,1.720499
16,default/lookup-wasm-00001-deployment-748bbd4556-7kt7x,1.773329
17,default/lookup-wasm-00001-deployment-594f5dc5f8-llc6r,1.780873
18,default/lookup-wasm-00001-deployment-6cd74c8fbf-fwjq7,1.774354
19,default/lookup-wasm-00001-deployment-7dd9d5967d-rh4b2,1.783433
20,default/lookup-wasm-00001-deployment-84f56bdfd6-fh92j,1.777614
21,default/lookup-wasm-00001-deployment-69f7f5966d-fjwtp,1.783626
22,default/lookup-wasm-00001-deployment-57f8c68b7d-v6dvx,1.781639
23,default/lookup-wasm-00001-deployment-9bd67f89f-vx7qb,1.780711
24,default/lookup-wasm-00001-deployment-5697947c6-bnz4m,1.786705
25,default/lookup-wasm-00001-deployment-5bb74474b7-tg46c,1.773707
26,default/lookup-wasm-00001-deployment-5774b6c9db-glvbh,1.785644
27,default/lookup-wasm-00001-deployment-856995bb84-75jds,1.778591
28,default/lookup-wasm-00001-deployment-7b54478d4d-n9589,1.780206
29,default/lookup-wasm-00001-deployment-784cbc6c46-fg4jt,1.774776
30,default/lookup-wasm-00001-deployment-8567f75d54-gk6x8,1.775110
31,default/lookup-wasm-00001-deployment-7dd6f7546d-59x22,1.780829
32,default/lookup-wasm-00001-deployment-7db845f547-wkdx4,1.777987
33,default/lookup-wasm-00001-deployment-56dc8d9f75-wn8nd,1.772628
34,default/lookup-wasm-00001-deployment-7b9f79b887-xx57g,1.784146
35,default/lookup-wasm-00001-deployment-768c876d5d-b9n7d,1.775989
36,default/lookup-wasm-00001-deployment-7cc8bdbf84-mrcxv,1.774161
37,default/lookup-wasm-00001-deployment-5dbfdc55bd-kkf2g,1.773602
38,default/lookup-wasm-00001-deployment-764f88b47b-84xvr,1.773856
39,default/lookup-wasm-00001-deployment-7cc65745c9-wlk2k,1.776248
40,default/lookup-wasm-00001-deployment-6d8d8697c4-lffc4,1.775624
41,default/lookup-wasm-00001-deployment-5c998fcf85-mbhnc,1.779066
42,default/lookup-wasm-00001-deployment-84884c67ff-9c4tr,1.777534
43,default/lookup-wasm-00001-deployment-6fd97b4fc5-nq6vc,1.771997
44,default/lookup-wasm-00001-deployment-764cb67459-5svkl,1.851613
45,default/lookup-wasm-00001-deployment-5cd4f6fcd4-9skhs,1.794035
46,default/lookup-wasm-00001-deployment-5fd96d6547-gfqtf,1.791381
47,default/lookup-wasm-00001-deployment-b56699dcb-7g54w,1.793606
48,default/lookup-wasm-00001-deployment-fd6d495c9-l2vtr,1.795773
49,default/lookup-wasm-00001-deployment-d7cdfb5db-z7s5b,1.790126
50,default/lookup-wasm-00001-deployment-77599ff7b6-xg854,1.792205
51,default/lookup-wasm-00001-deployment-5c9498458c-9tvtv,1.801204
52,default/lookup-wasm-00001-deployment-6679899d5b-jfncw,1.794651
53,default/lookup-wasm-00001-deployment-78448554b-l9sh8,1.791372
54,default/lookup-wasm-00001-deployment-5d794f6b49-fh9fq,1.797473
