iteration_number,pod_name,total_time_taken
1,default/lookup-standard-00001-deployment-5659f5f45b-rfgnw,1.780710235s
2,default/lookup-standard-00001-deployment-5697cb44d-8s6bz,1.879620085s
3,default/lookup-standard-00001-deployment-564bd9b5cf-l8tdb,1.975981837s
4,default/lookup-standard-00001-deployment-7cc6d5f699-vgm6j,2.075068866s
5,default/lookup-standard-00001-deployment-586848f47c-mhcc5,2.167170188s
6,default/lookup-standard-00001-deployment-8666df7756-nn5ql,2.262150402s
7,default/lookup-standard-00001-deployment-6f884f678c-wspz8,1.351450941s
8,default/lookup-standard-00001-deployment-6dc9cffc97-b2wd8,1.44347274s
9,default/lookup-standard-00001-deployment-cdc955f48-zzddb,1.536069475s
10,default/lookup-standard-00001-deployment-6dd888dbd-k6wm6,1.619254487s
11,default/lookup-standard-00001-deployment-8466f5c494-xcwlx,1.708927695s
12,default/lookup-standard-00001-deployment-84c8cb84cb-5wk27,1.799842365s
13,default/lookup-standard-00001-deployment-6bc78f9f59-8zxn9,1.891662294s
14,default/lookup-standard-00001-deployment-6dd65456fb-m4gkv,1.978961072s
15,default/lookup-standard-00001-deployment-65ff7c7748-5xh8s,2.073110509s
16,default/lookup-standard-00001-deployment-86df86c9d8-gtj6q,2.15386754s
17,default/lookup-standard-00001-deployment-669d448f4b-sbjw4,2.237379998s
18,default/lookup-standard-00001-deployment-869fd7dbd9-jw9ss,1.318956923s
19,default/lookup-standard-00001-deployment-9fd87cc98-nwz2k,1.407444718s
20,default/lookup-standard-00001-deployment-66d5465845-6hwpn,1.489824509s
21,default/lookup-standard-00001-deployment-6656455fcf-7zs9l,1.571109697s
22,default/lookup-standard-00001-deployment-cb64c8984-zqpss,1.654765921s
23,default/lookup-standard-00001-deployment-bdcb5564b-n578q,1.738059591s
24,default/lookup-standard-00001-deployment-b4b879f8f-88csw,1.815334009s
25,default/lookup-standard-00001-deployment-6b4fb87c59-6xl9m,1.895904307s
26,default/lookup-standard-00001-deployment-7c876d96b7-rnrzl,1.980202888s
27,default/lookup-standard-00001-deployment-5486df6846-hbmn2,2.070535457s
28,default/lookup-standard-00001-deployment-5cfbc6d559-fmp66,2.155746553s
29,default/lookup-standard-00001-deployment-59cc49cfbd-nsmsg,2.241051464s
30,default/lookup-standard-00001-deployment-684679cb66-crqqn,2.321539275s
31,default/lookup-standard-00001-deployment-689d8886b7-hj4dv,2.408081114s
32,default/lookup-standard-00001-deployment-7d87986f6b-t7z5z,1.489389249s
33,default/lookup-standard-00001-deployment-87f6b496f-wzqf2,1.571825037s
34,default/lookup-standard-00001-deployment-56cd59f7d8-8x98r,1.652150333s
35,default/lookup-standard-00001-deployment-77bf897865-r7m4s,1.738082875s
36,default/lookup-standard-00001-deployment-7f98d876c-sbscf,1.814892932s
37,default/lookup-standard-00001-deployment-595766dd9-ktpq8,1.892829067s
38,default/lookup-standard-00001-deployment-58c98bf848-rmpbj,1.975979078s
39,default/lookup-standard-00001-deployment-5bc7d8f94b-dlhn8,2.060997442s
40,default/lookup-standard-00001-deployment-c6589cbf6-fq7wp,2.147691418s
41,default/lookup-standard-00001-deployment-76956b974f-tqpv2,2.232023751s
42,default/lookup-standard-00001-deployment-6fbf98bdc6-c5d2x,2.315315354s
43,default/lookup-standard-00001-deployment-7574dc7c99-cz75k,1.396107618s
44,default/lookup-standard-00001-deployment-5c4769cb57-sl8fh,1.478282829s
45,default/lookup-standard-00001-deployment-d6bb88bb9-8mpnz,1.562622165s
46,default/lookup-standard-00001-deployment-6745b84d55-wqxrx,1.648827035s
47,default/lookup-standard-00001-deployment-7f9ff9b5b4-22jtg,1.729033017s
48,default/lookup-standard-00001-deployment-7f978b9cb6-2f7zb,1.807280702s
49,default/lookup-standard-00001-deployment-6c976f88f5-ffxsl,1.888605231s
50,default/lookup-standard-00001-deployment-6d4958f469-h5mf6,1.971919948s
51,default/lookup-standard-00001-deployment-69ccd8df58-bvwng,2.051544458s
52,default/lookup-standard-00001-deployment-dff6446d7-4q89l,2.136629443s
53,default/lookup-standard-00001-deployment-7467cd5458-jzzzv,2.218758535s
54,default/lookup-standard-00001-deployment-ddb645687-f258z,2.30167244s
55,default/lookup-standard-00001-deployment-5798cc45b6-4ff9r,1.386923446s
56,default/lookup-standard-00001-deployment-75589f6cc6-hmx9z,1.469981134s
57,default/lookup-standard-00001-deployment-5cf4c5c776-4thsx,1.552767659s
58,default/lookup-standard-00001-deployment-5c8bdb4668-98zln,1.637099121s
59,default/lookup-standard-00001-deployment-84444768b-gwcn2,1.720337069s
60,default/lookup-standard-00001-deployment-85877d4b8b-s8vpk,1.804980803s
61,default/lookup-standard-00001-deployment-74dfb4ddbc-bbfw7,1.888590278s
62,default/lookup-standard-00001-deployment-bfdff8478-fbhvb,1.971247251s
63,default/lookup-standard-00001-deployment-9d45cb7bc-ds6tb,2.058250622s
64,default/lookup-standard-00001-deployment-6b7589b6d8-bhx98,2.142420349s
65,default/lookup-standard-00001-deployment-78c68d6859-4vkjb,2.224531802s
66,default/lookup-standard-00001-deployment-6588bb8854-ddrtt,2.309946217s
67,default/lookup-standard-00001-deployment-666999b44b-rrkpj,1.39455662s
68,default/lookup-standard-00001-deployment-59cd9bdcf5-pd2fp,1.47842827s
69,default/lookup-standard-00001-deployment-5fc866f7b9-r8qcv,1.559909136s
70,default/lookup-standard-00001-deployment-66d6f796f8-t6nlh,1.63935779s
71,default/lookup-standard-00001-deployment-7c7c59cfc4-rwbnq,1.722184121s
72,default/lookup-standard-00001-deployment-6cfccccfc4-hr98q,1.801674922s
73,default/lookup-standard-00001-deployment-786b977d49-gqjcp,1.881943547s
74,default/lookup-standard-00001-deployment-6667d55575-fz7lt,1.963726043s
75,default/lookup-standard-00001-deployment-6d4d65d4f4-h7dg5,2.054117724s
76,default/lookup-standard-00001-deployment-649c68df44-fnbdx,2.13120656s
77,default/lookup-standard-00001-deployment-65fddd9d77-kzkzv,2.223417352s
78,default/lookup-standard-00001-deployment-5c474fc57f-x8s7d,2.314941061s
79,default/lookup-standard-00001-deployment-7b49d4f788-5q8d6,1.393252675s
80,default/lookup-standard-00001-deployment-746f796bd-fbjhr,1.477603256s
81,default/lookup-standard-00001-deployment-566558788-zx489,1.564055156s
82,default/lookup-standard-00001-deployment-685898bcbf-2scxf,1.648846111s
83,default/lookup-standard-00001-deployment-7dd9dfb8c5-fvxtk,1.732119239s
84,default/lookup-standard-00001-deployment-74b54d896d-kmz9h,1.813077783s
85,default/lookup-standard-00001-deployment-6b5b9b5866-4vgkh,1.894679469s
86,default/lookup-standard-00001-deployment-6d8b4f899-xp9ml,1.972994068s
87,default/lookup-standard-00001-deployment-68cd7647b-hsbf4,2.056083194s
88,default/lookup-standard-00001-deployment-866799dcc6-jqpjs,2.145683313s
89,default/lookup-standard-00001-deployment-7f844bf9cc-5kc78,2.240724194s
90,default/lookup-standard-00001-deployment-5b5cb885fb-rm4hw,2.320979461s
91,default/lookup-standard-00001-deployment-65646db545-ttfmm,1.401547361s
92,default/lookup-standard-00001-deployment-85849bb9f7-kfbvn,1.483401278s
93,default/lookup-standard-00001-deployment-664d5df7bd-p98bb,1.566786424s
94,default/lookup-standard-00001-deployment-7fd6586d7-s8dqk,1.650948975s
95,default/lookup-standard-00001-deployment-58985b49c5-6467g,1.732432963s
96,default/lookup-standard-00001-deployment-558db78dcf-k9p25,1.821680995s
97,default/lookup-standard-00001-deployment-5597d46b7d-lj758,1.895342105s
98,default/lookup-standard-00001-deployment-7d47b9b545-h9wm2,1.978892167s
99,default/lookup-standard-00001-deployment-84d887f5b7-vh9d9,2.059897204s
100,default/lookup-standard-00001-deployment-769fcfb8fc-hjkmr,2.143266079s
