iteration_number,pod_name,total_time_taken
1,default/lookup-wasm-00001-deployment-75d6f8bbd5-6ss6l,1.63642699s
2,default/lookup-wasm-00001-deployment-b77854d5-cfbjr,1.723221142s
3,default/lookup-wasm-00001-deployment-f795d5667-qgzc8,1.803308881s
4,default/lookup-wasm-00001-deployment-f7c9bf5dc-mtzpr,1.887820648s
5,default/lookup-wasm-00001-deployment-56468b7bc5-qrff6,1.977259408s
6,default/lookup-wasm-00001-deployment-7b6c696b48-4g8sf,2.058873717s
7,default/lookup-wasm-00001-deployment-85dffbd6cc-d2dhz,2.14450978s
8,default/lookup-wasm-00001-deployment-58fd9ff9c9-c6vdt,2.226875549s
9,default/lookup-wasm-00001-deployment-c8fb45d67-52lfs,2.306688384s
10,default/lookup-wasm-00001-deployment-d77ccfb64-vxsgq,1.392900755s
11,default/lookup-wasm-00001-deployment-cdc84b6dc-9rq8z,1.477390916s
12,default/lookup-wasm-00001-deployment-759f66ff6c-5fqfk,1.563423396s
13,default/lookup-wasm-00001-deployment-686d57b57d-tlfcp,1.643427828s
14,default/lookup-wasm-00001-deployment-9d9f7f88d-s5dnw,1.723614688s
15,default/lookup-wasm-00001-deployment-86c744d48-8498c,1.552960784s
16,default/lookup-wasm-00001-deployment-748bbd4556-7kt7x,1.632509447s
17,default/lookup-wasm-00001-deployment-594f5dc5f8-llc6r,1.711481688s
18,default/lookup-wasm-00001-deployment-6cd74c8fbf-fwjq7,1.790282896s
19,default/lookup-wasm-00001-deployment-7dd9d5967d-rh4b2,1.871307548s
20,default/lookup-wasm-00001-deployment-84f56bdfd6-fh92j,1.951015442s
21,default/lookup-wasm-00001-deployment-69f7f5966d-fjwtp,2.036016985s
22,default/lookup-wasm-00001-deployment-57f8c68b7d-v6dvx,2.119601549s
23,default/lookup-wasm-00001-deployment-9bd67f89f-vx7qb,2.203603752s
24,default/lookup-wasm-00001-deployment-5697947c6-bnz4m,1.286440625s
25,default/lookup-wasm-00001-deployment-5bb74474b7-tg46c,1.368202611s
26,default/lookup-wasm-00001-deployment-5774b6c9db-glvbh,1.454985222s
27,default/lookup-wasm-00001-deployment-856995bb84-75jds,1.536444512s
28,default/lookup-wasm-00001-deployment-7b54478d4d-n9589,1.618732738s
29,default/lookup-wasm-00001-deployment-784cbc6c46-fg4jt,1.699151619s
30,default/lookup-wasm-00001-deployment-8567f75d54-gk6x8,1.778275954s
31,default/lookup-wasm-00001-deployment-7dd6f7546d-59x22,1.862837176s
32,default/lookup-wasm-00001-deployment-7db845f547-wkdx4,1.94808494s
33,default/lookup-wasm-00001-deployment-56dc8d9f75-wn8nd,2.02731859s
34,default/lookup-wasm-00001-deployment-7b9f79b887-xx57g,2.113664392s
35,default/lookup-wasm-00001-deployment-768c876d5d-b9n7d,2.194439987s
36,default/lookup-wasm-00001-deployment-7cc8bdbf84-mrcxv,2.272590466s
37,default/lookup-wasm-00001-deployment-5dbfdc55bd-kkf2g,1.358380446s
38,default/lookup-wasm-00001-deployment-764f88b47b-84xvr,1.438466547s
39,default/lookup-wasm-00001-deployment-7cc65745c9-wlk2k,1.521338386s
40,default/lookup-wasm-00001-deployment-6d8d8697c4-lffc4,1.600538069s
41,default/lookup-wasm-00001-deployment-5c998fcf85-mbhnc,1.682554549s
42,default/lookup-wasm-00001-deployment-84884c67ff-9c4tr,1.768571693s
43,default/lookup-wasm-00001-deployment-6fd97b4fc5-nq6vc,1.848403024s
44,default/lookup-wasm-00001-deployment-764cb67459-5svkl,1.43192715s
45,default/lookup-wasm-00001-deployment-5cd4f6fcd4-9skhs,1.512929284s
46,default/lookup-wasm-00001-deployment-5fd96d6547-gfqtf,1.59342378s
47,default/lookup-wasm-00001-deployment-b56699dcb-7g54w,1.676760916s
48,default/lookup-wasm-00001-deployment-fd6d495c9-l2vtr,1.759733091s
49,default/lookup-wasm-00001-deployment-d7cdfb5db-z7s5b,1.835405556s
50,default/lookup-wasm-00001-deployment-77599ff7b6-xg854,1.915126227s
51,default/lookup-wasm-00001-deployment-5c9498458c-9tvtv,2.001026006s
52,default/lookup-wasm-00001-deployment-6679899d5b-jfncw,2.084424234s
53,default/lookup-wasm-00001-deployment-78448554b-l9sh8,2.165479222s
54,default/lookup-wasm-00001-deployment-5d794f6b49-fh9fq,2.250951659s
55,default/lookup-wasm-00001-deployment-55fc646dbb-sz9mv,1.332240445s
56,default/lookup-wasm-00001-deployment-b7bbbf67b-5t9nj,1.417662014s
57,default/lookup-wasm-00001-deployment-5ffdd5565-9brpl,1.498879564s
58,default/lookup-wasm-00001-deployment-547545967f-kfcdp,1.585260208s
59,default/lookup-wasm-00001-deployment-7c46955999-7847h,1.667821272s
60,default/lookup-wasm-00001-deployment-868949887f-4gl4s,1.749966594s
61,default/lookup-wasm-00001-deployment-5b999b754-p2pgh,1.832564447s
62,default/lookup-wasm-00001-deployment-78b6d6d769-5drjj,1.913013139s
63,default/lookup-wasm-00001-deployment-86f7ff988c-bqvcf,1.996685015s
64,default/lookup-wasm-00001-deployment-847b965fd5-7pglx,2.0815713s
65,default/lookup-wasm-00001-deployment-7799c6574d-bx7cn,2.163704925s
66,default/lookup-wasm-00001-deployment-59dd664d78-7pz5d,2.24313994s
67,default/lookup-wasm-00001-deployment-5dd784f849-z5hxg,2.327640231s
68,default/lookup-wasm-00001-deployment-5ccc56dc6b-d7lf6,1.409330337s
69,default/lookup-wasm-00001-deployment-694dd8f665-gp2hp,1.497411611s
70,default/lookup-wasm-00001-deployment-8b7b94b69-bcg8f,1.576378041s
71,default/lookup-wasm-00001-deployment-7795756478-v7b4h,1.663909646s
