iteration_number,pod_name,total_time_taken
1,default/lookup-standard-7f86446489-r98fm,2.278500329s
2,default/lookup-standard-7f86446489-trm5p,2.430755701s
3,default/lookup-standard-7f86446489-hlvmt,1.585984543s
4,default/lookup-standard-7f86446489-dhbts,1.742017835s
5,default/lookup-standard-7f86446489-nmdfr,1.8974701s
6,default/lookup-standard-7f86446489-2ndzp,2.054864128s
7,default/lookup-standard-7f86446489-8ttqm,2.207372744s
8,default/lookup-standard-7f86446489-gdt6c,2.364127767s
9,default/lookup-standard-7f86446489-rf42c,2.520349571s
10,default/lookup-standard-7f86446489-ldgnv,1.674250464s
11,default/lookup-standard-7f86446489-mllgc,1.828135948s
12,default/lookup-standard-7f86446489-xdk7z,1.978825425s
13,default/lookup-standard-7f86446489-v78p2,2.136776438s
14,default/lookup-standard-7f86446489-vmksm,2.29025105s
15,default/lookup-standard-7f86446489-pkv29,2.439398684s
16,default/lookup-standard-7f86446489-2lmhz,1.589908724s
17,default/lookup-standard-7f86446489-htftf,1.74880899s
18,default/lookup-standard-7f86446489-9nxxp,1.906913146s
19,default/lookup-standard-7f86446489-qg8w9,2.059747789s
20,default/lookup-standard-7f86446489-kfm9l,2.210313142s
21,default/lookup-standard-7f86446489-98d2x,2.36616758s
22,default/lookup-standard-7f86446489-54d6c,2.512959306s
23,default/lookup-standard-7f86446489-4rmwx,1.66921763s
