iteration_number,pod_name,total_time_taken
1,default/lookup-wasm-6678dd8d44-d8hcw,2.199243776s
2,default/lookup-wasm-6678dd8d44-d8p5z,2.352324059s
3,default/lookup-wasm-6678dd8d44-v92tv,2.50828274s
4,default/lookup-wasm-6678dd8d44-g7z9h,1.659869767s
5,default/lookup-wasm-6678dd8d44-tm6gn,1.821546371s
6,default/lookup-wasm-6678dd8d44-ntstg,1.974080369s
7,default/lookup-wasm-6678dd8d44-kcxht,2.13074487s
8,default/lookup-wasm-6678dd8d44-c6xfw,2.28755788s
9,default/lookup-wasm-6678dd8d44-l7zn7,2.441759018s
10,default/lookup-wasm-6678dd8d44-x4nkz,2.595706883s
11,default/lookup-wasm-6678dd8d44-wltc7,1.749322114s
12,default/lookup-wasm-6678dd8d44-n647z,1.901542102s
13,default/lookup-wasm-6678dd8d44-9bctq,2.056417751s
14,default/lookup-wasm-6678dd8d44-jfg9g,2.215039208s
15,default/lookup-wasm-6678dd8d44-fc9fd,2.367788198s
16,default/lookup-wasm-6678dd8d44-2xwk6,2.511691192s
17,default/lookup-wasm-6678dd8d44-phw8g,2.671161222s
18,default/lookup-wasm-6678dd8d44-nvpv2,1.829863939s
19,default/lookup-wasm-6678dd8d44-vw8n8,1.98275516s
20,default/lookup-wasm-6678dd8d44-qx8lk,2.13787735s
21,default/lookup-wasm-6678dd8d44-cjw2c,2.287200862s
22,default/lookup-wasm-6678dd8d44-xkfpf,2.43923629s
23,default/lookup-wasm-6678dd8d44-pflv9,2.59353656s
