iteration_number,pod_name,total_time_taken
1,default/lookup-standard-7f86446489-cf4f7,1.907380086s
2,default/lookup-standard-7f86446489-x4w7c,1.97640538s
3,default/lookup-standard-7f86446489-4sbrx,2.047713534s
4,default/lookup-standard-7f86446489-7vlxm,2.116221993s
5,default/lookup-standard-7f86446489-cnf56,2.186794574s
6,default/lookup-standard-7f86446489-kz6jj,2.260230471s
7,default/lookup-standard-7f86446489-csfz4,2.334260674s
8,default/lookup-standard-7f86446489-rpndd,2.403587979s
9,default/lookup-standard-7f86446489-gqf2c,2.470442377s
10,default/lookup-standard-7f86446489-gbdt6,2.5344743s
11,default/lookup-standard-7f86446489-qqcjp,1.604881102s
12,default/lookup-standard-7f86446489-44jct,1.677892593s
13,default/lookup-standard-7f86446489-l9sh2,1.749172067s
14,default/lookup-standard-7f86446489-rq6nj,1.816175249s
15,default/lookup-standard-7f86446489-tqqpd,1.883126039s
16,default/lookup-standard-7f86446489-hc2ch,1.947896776s
17,default/lookup-standard-7f86446489-tfbm9,2.018579606s
18,default/lookup-standard-7f86446489-7tx5d,2.085956184s
19,default/lookup-standard-7f86446489-2rl4q,2.154956512s
20,default/lookup-standard-7f86446489-492d7,2.233360256s
21,default/lookup-standard-7f86446489-tthtx,2.302250581s
22,default/lookup-standard-7f86446489-4vq7h,2.369557357s
23,default/lookup-standard-7f86446489-scz46,2.435955919s
24,default/lookup-standard-7f86446489-lvrb7,2.502367467s
25,default/lookup-standard-7f86446489-nmbgf,2.568254544s
26,default/lookup-standard-7f86446489-qllxc,1.636598045s
27,default/lookup-standard-7f86446489-zmlb6,1.705010727s
28,default/lookup-standard-7f86446489-trmdm,1.771927771s
29,default/lookup-standard-7f86446489-c9jv2,1.849047356s
30,default/lookup-standard-7f86446489-rmkrj,1.918879884s
31,default/lookup-standard-7f86446489-7vrcs,1.985374996s
32,default/lookup-standard-7f86446489-kwmvs,2.057747317s
33,default/lookup-standard-7f86446489-7kj67,2.126733866s
34,default/lookup-standard-7f86446489-9bqnp,2.192905599s
35,default/lookup-standard-7f86446489-86h6p,2.263028613s
36,default/lookup-standard-7f86446489-7rp8v,2.333500363s
37,default/lookup-standard-7f86446489-qh5w8,2.403865814s
38,default/lookup-standard-7f86446489-znpq7,2.469734227s
39,default/lookup-standard-7f86446489-zrbsh,2.536878111s
40,default/lookup-standard-7f86446489-84pq6,1.606019365s
41,default/lookup-standard-7f86446489-vc2sg,1.676439658s
42,default/lookup-standard-7f86446489-rk9b6,1.744014683s
43,default/lookup-standard-7f86446489-b7s85,1.811360679s
44,default/lookup-standard-7f86446489-cv7xx,1.880029819s
45,default/lookup-standard-7f86446489-8bq7v,1.947373532s
46,default/lookup-standard-7f86446489-sp774,2.016395039s
47,default/lookup-standard-7f86446489-fppb7,30.686023416s
48,default/lookup-standard-7f86446489-2zg6q,2.1540231s
49,default/lookup-standard-7f86446489-sbmq4,2.222742243s
50,default/lookup-standard-7f86446489-fhzt5,2.290630631s
51,default/lookup-standard-7f86446489-scv4p,2.359980042s
52,default/lookup-standard-7f86446489-zlp9x,2.425220419s
53,default/lookup-standard-7f86446489-s2282,2.492131064s
54,default/lookup-standard-7f86446489-lhggq,2.556952737s
55,default/lookup-standard-7f86446489-pwdfp,30.286226116s
56,default/lookup-standard-7f86446489-ssj8b,1.69296306s
57,default/lookup-standard-7f86446489-kmk6n,1.763731191s
58,default/lookup-standard-7f86446489-qth6l,1.833959914s
59,default/lookup-standard-7f86446489-2xh6f,1.904917766s
60,default/lookup-standard-7f86446489-dhx4d,1.973186583s
61,default/lookup-standard-7f86446489-xmh8b,2.043897939s
62,default/lookup-standard-7f86446489-cnhn6,2.109463483s
63,default/lookup-standard-7f86446489-l62nk,2.174387921s
64,default/lookup-standard-7f86446489-7h28n,2.23865397s
