iteration_number,pod_name,total_time_taken
1,default/lookup-standard-687f7b97bb-64fdb,2.483075867s
2,default/lookup-standard-687f7b97bb-lr642,1.54211812s
3,default/lookup-standard-687f7b97bb-lw9p8,1.600792483s
4,default/lookup-standard-687f7b97bb-d8f7s,2.663325515s
5,default/lookup-standard-687f7b97bb-9xbnc,2.720919388s
6,default/lookup-standard-687f7b97bb-6hs5v,1.779891537s
7,default/lookup-standard-687f7b97bb-xthjt,1.840609262s
8,default/lookup-standard-687f7b97bb-nqn9c,1.897377561s
9,default/lookup-standard-687f7b97bb-gk999,1.959832948s
10,default/lookup-standard-687f7b97bb-c7rzg,2.016850913s
11,default/lookup-standard-687f7b97bb-jsgpp,2.081072042s
12,default/lookup-standard-687f7b97bb-wnjqf,2.132446473s
13,default/lookup-standard-687f7b97bb-jb24n,2.191574818s
14,default/lookup-standard-687f7b97bb-rld8f,2.251317877s
15,default/lookup-standard-687f7b97bb-ftrr7,2.309717495s
16,default/lookup-standard-687f7b97bb-5fjh5,1.365332615s
17,default/lookup-standard-687f7b97bb-r28cl,2.423860062s
18,default/lookup-standard-687f7b97bb-cpkjm,2.479724285s
19,default/lookup-standard-687f7b97bb-xf2d9,1.538434878s
20,default/lookup-standard-687f7b97bb-p8c2r,1.595016809s
21,default/lookup-standard-687f7b97bb-hcl7x,2.658209252s
22,default/lookup-standard-687f7b97bb-5gnjg,1.713341954s
23,default/lookup-standard-687f7b97bb-vbcr2,1.771804771s
24,default/lookup-standard-687f7b97bb-5x4ht,1.827335765s
25,default/lookup-standard-687f7b97bb-7fmm4,1.880413969s
26,default/lookup-standard-687f7b97bb-b2jb8,1.937623688s
27,default/lookup-standard-687f7b97bb-k7nlt,2.001240026s
28,default/lookup-standard-687f7b97bb-n4pqg,2.059450208s
29,default/lookup-standard-687f7b97bb-m75gb,2.118296713s
30,default/lookup-standard-687f7b97bb-cc6p8,2.174540314s
31,default/lookup-standard-687f7b97bb-bd6r4,2.232330156s
32,default/lookup-standard-687f7b97bb-fcvxm,1.285526686s
33,default/lookup-standard-687f7b97bb-fmrxv,2.342228424s
34,default/lookup-standard-687f7b97bb-mw5w6,2.404945288s
35,default/lookup-standard-687f7b97bb-pf2fd,2.467064748s
36,default/lookup-standard-687f7b97bb-kdql8,1.526183539s
37,default/lookup-standard-687f7b97bb-vndjv,2.587898535s
38,default/lookup-standard-687f7b97bb-fzgnn,2.647604815s
39,default/lookup-standard-687f7b97bb-mlgmv,1.706320182s
40,default/lookup-standard-687f7b97bb-wfw8t,1.763381888s
41,default/lookup-standard-687f7b97bb-d6vf8,1.818580079s
42,default/lookup-standard-687f7b97bb-2dnhf,1.879116169s
43,default/lookup-standard-687f7b97bb-49ps6,1.936168218s
44,default/lookup-standard-687f7b97bb-6ck9g,1.99413587s
45,default/lookup-standard-687f7b97bb-vghb4,2.050403544s
46,default/lookup-standard-687f7b97bb-4gzpf,2.105588524s
47,default/lookup-standard-687f7b97bb-fs8tr,2.15915967s
48,default/lookup-standard-687f7b97bb-p6ztg,2.214701717s
49,default/lookup-standard-687f7b97bb-b4nbb,1.267009149s
50,default/lookup-standard-687f7b97bb-hk4fk,30.467702738s
51,default/lookup-standard-687f7b97bb-d2p45,2.38023212s
52,default/lookup-standard-687f7b97bb-r7mzk,2.438526084s
53,default/lookup-standard-687f7b97bb-q7fr6,1.494662998s
54,default/lookup-standard-687f7b97bb-fbv47,2.555129936s
55,default/lookup-standard-687f7b97bb-wjp5s,2.617859797s
56,default/lookup-standard-687f7b97bb-xtkdz,1.679174183s
57,default/lookup-standard-687f7b97bb-6vnzg,1.736339054s
58,default/lookup-standard-687f7b97bb-45b5c,1.799525071s
59,default/lookup-standard-687f7b97bb-cw9d7,1.862772796s
60,default/lookup-standard-687f7b97bb-rgknf,1.921925714s
61,default/lookup-standard-687f7b97bb-ppb2b,1.986993355s
62,default/lookup-standard-687f7b97bb-lstr6,2.044435032s
63,default/lookup-standard-687f7b97bb-9qpkx,2.105936844s
64,default/lookup-standard-687f7b97bb-n9s4w,2.167826011s
65,default/lookup-standard-687f7b97bb-5zfnm,2.226563562s
66,default/lookup-standard-687f7b97bb-94vfv,1.28821312s
67,default/lookup-standard-687f7b97bb-gq7lb,2.349776063s
68,default/lookup-standard-687f7b97bb-xwdkz,2.409638047s
69,default/lookup-standard-687f7b97bb-zr6ft,1.472071691s
70,default/lookup-standard-687f7b97bb-hfssb,1.534585536s
71,default/lookup-standard-687f7b97bb-8snv7,2.601269792s
72,default/lookup-standard-687f7b97bb-tgzlv,1.660728009s
73,default/lookup-standard-687f7b97bb-f9zln,1.724972626s
74,default/lookup-standard-687f7b97bb-99b8l,1.784394846s
75,default/lookup-standard-687f7b97bb-jtbkf,36.893521292s
76,default/lookup-standard-687f7b97bb-dsnjc,1.905859646s
77,default/lookup-standard-687f7b97bb-rclnb,1.960858649s
78,default/lookup-standard-687f7b97bb-tt8tt,2.018663231s
79,default/lookup-standard-687f7b97bb-h8jbp,2.079787886s
80,default/lookup-standard-687f7b97bb-2sfhb,2.139645951s
81,default/lookup-standard-687f7b97bb-ss4j5,2.200254271s
82,default/lookup-standard-687f7b97bb-jqfz2,1.262019521s
83,default/lookup-standard-687f7b97bb-jg8kg,2.322476291s
84,default/lookup-standard-687f7b97bb-p2hf4,2.383445633s
85,default/lookup-standard-687f7b97bb-w2fmv,2.445836849s
86,default/lookup-standard-687f7b97bb-gp6sb,1.506241668s
87,default/lookup-standard-687f7b97bb-xxrkg,2.57043872s
