iteration_number,total_time_taken
1,0.99
2,1.21
3,1.21
4,1.21
5,1.21
6,1.20
7,1.21
8,1.21
9,1.21
10,1.21
11,1.21
12,1.20
13,1.20
14,1.20
15,1.21
16,1.21
17,1.21
18,1.20
19,1.21
20,1.21
21,1.21
22,1.20
23,1.21
24,1.22
25,1.20
26,1.20
27,1.21
28,1.21
29,1.21
30,1.21
31,1.19
32,1.19
33,1.21
34,1.21
35,1.21
36,1.21
37,1.20
38,1.21
39,1.19
40,1.20
41,1.21
42,1.21
43,1.21
44,1.21
45,1.20
46,1.21
47,1.21
48,1.21
49,1.20
50,1.20
51,1.20
52,1.21
53,1.21
54,1.21
55,1.20
56,1.20
57,1.20
58,1.20
59,1.20
60,1.22
61,1.19
62,1.21
63,1.20
64,1.21
65,1.21
66,1.20
67,1.21
68,1.21
69,1.21
70,1.20
71,1.21
72,1.21
73,1.20
74,1.20
75,1.20
76,1.22
77,1.20
78,1.21
79,1.20
80,1.21
81,1.22
82,1.21
83,1.21
84,1.20
85,1.20
86,1.19
87,1.19
88,1.23
89,1.20
90,1.21
91,1.20
92,1.21
93,1.21
94,1.21
95,1.20
96,1.21
97,1.20
98,1.21
99,1.21
100,1.21
101,1.20
102,1.21
103,1.21
104,1.21
105,1.21
106,1.22
107,1.21
108,1.20
109,1.20
110,1.21
111,1.21
112,1.21
113,1.21
114,1.20
115,1.22
116,2.21
117,1.20
118,1.21
119,1.20
120,1.21
